我们目前支持以下平台的热点内容获取：

序号	平台名称	平台代码	内容类型	状态
1	百度热搜	baidu	社会热点、娱乐、事件	✅
2	少数派	sspai	科技、数码、生活方式	✅
3	微博热搜	weibo	社交媒体热点、娱乐、事件	✅
4	知乎热榜	zhihu	问答、深度内容、社会热点	✅
5	36氪	tskr	科技创业、商业资讯	✅
6	吾爱破解	ftpojie	技术、软件、安全	✅
7	哔哩哔哩	bilibili	视频、动漫、游戏、生活	✅
8	豆瓣	douban	书影音、文化、讨论	✅
9	虎扑	hupu	体育、游戏、数码	✅
10	百度贴吧	tieba	兴趣社区、话题讨论	✅
11	掘金	juejin	编程、技术文章	✅
12	抖音	douyin	短视频热点、娱乐	✅
13	V2EX	vtex	技术、编程、创意	✅
14	今日头条	jinritoutiao	新闻、热点事件	✅
15	Stack Overflow	stackoverflow	编程问答、技术讨论	✅
16	GitHub Trending	github	开源项目、编程语言	✅
17	Hacker News	hackernews	科技新闻、创业、编程	✅
18	新浪财经	sina_finance	财经新闻、股市资讯	✅
19	东方财富	eastmoney	财经资讯、投资理财	✅
20	雪球	xueqiu	股票投资、财经社区	✅
21	财联社	cls	财经快讯、市场动态	✅
22	腾讯网	tenxunwang	综合新闻、娱乐、科技	✅
